Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
1,0,Terminal Stance,100.0%,-1.06 (Inaccurate ),44.59 (Accurate ),6.94 (Inaccurate ),4.56 (Inaccurate ),25.0 % ,Should Improve
2,0,Terminal Stance,100.0%,-0.89 (Inaccurate ),43.87 (Accurate ),6.3 (Inaccurate ),3.66 (Inaccurate ),25.0 % ,Should Improve
3,0,Terminal Stance,100.0%,-0.82 (Inaccurate ),43.51 (Accurate ),5.65 (Inaccurate ),3.05 (Inaccurate ),25.0 % ,Should Improve
4,0,Terminal Stance,100.0%,-0.67 (Inaccurate ),43.44 (Accurate ),5.2 (Inaccurate ),2.34 (Inaccurate ),25.0 % ,Should Improve
5,0,Terminal Stance,100.0%,-0.27 (Inaccurate ),44.23 (Accurate ),5.13 (Inaccurate ),0.69 (Inaccurate ),25.0 % ,Should Improve
6,0,Terminal Stance,100.0%,-0.23 (Inaccurate ),46.24 (Accurate ),4.92 (Inaccurate ),1.69 (Inaccurate ),25.0 % ,Should Improve
7,0,Terminal Stance,100.0%,0.59 (Inaccurate ),45.76 (Accurate ),5.13 (Inaccurate ),3.74 (Inaccurate ),25.0 % ,Should Improve
8,0,Terminal Stance,100.0%,0.78 (Inaccurate ),44.06 (Accurate ),4.58 (Inaccurate ),4.28 (Inaccurate ),25.0 % ,Should Improve
9,0,Terminal Stance,100.0%,0.71 (Inaccurate ),41.83 (Accurate ),3.77 (Inaccurate ),4.23 (Inaccurate ),25.0 % ,Should Improve
10,0,Terminal Stance,100.0%,0.34 (Inaccurate ),41.59 (Accurate ),3.33 (Inaccurate ),3.92 (Inaccurate ),25.0 % ,Should Improve
11,0,Terminal Stance,100.0%,0.51 (Inaccurate ),41.26 (Accurate ),3.16 (Inaccurate ),4.71 (Inaccurate ),25.0 % ,Should Improve
12,0,Terminal Stance,100.0%,0.79 (Inaccurate ),41.55 (Accurate ),3.28 (Inaccurate ),6.44 (Inaccurate ),25.0 % ,Should Improve
13,0,Terminal Stance,100.0%,0.86 (Inaccurate ),37.13 (Accurate ),3.26 (Inaccurate ),6.55 (Inaccurate ),25.0 % ,Should Improve
14,0,Terminal Stance,100.0%,0.56 (Inaccurate ),34.75 (Inaccurate ),3.59 (Inaccurate ),6.01 (Inaccurate ),0.0 % ,Should Improve
15,0,Terminal Stance,100.0%,0.12 (Inaccurate ),32.38 (Inaccurate ),3.76 (Inaccurate ),5.37 (Inaccurate ),0.0 % ,Should Improve
16,0,Terminal Stance,100.0%,-0.27 (Inaccurate ),32.53 (Inaccurate ),4.36 (Inaccurate ),5.19 (Inaccurate ),0.0 % ,Should Improve
17,0,Terminal Stance,100.0%,-0.13 (Inaccurate ),33.84 (Inaccurate ),4.81 (Inaccurate ),7.21 (Inaccurate ),0.0 % ,Should Improve
18,0,Terminal Stance,100.0%,-0.21 (Inaccurate ),35.84 (Accurate ),4.6 (Inaccurate ),9.54 (Inaccurate ),25.0 % ,Should Improve
19,0,Terminal Stance,100.0%,-0.72 (Inaccurate ),35.07 (Accurate ),3.74 (Inaccurate ),9.85 (Inaccurate ),25.0 % ,Should Improve
20,0,Terminal Stance,100.0%,-0.81 (Inaccurate ),34.45 (Inaccurate ),2.8 (Inaccurate ),10.1 (Inaccurate ),0.0 % ,Should Improve
21,0,Terminal Stance,100.0%,-1.39 (Inaccurate ),32.28 (Inaccurate ),2.46 (Inaccurate ),8.85 (Inaccurate ),0.0 % ,Should Improve
22,0,Terminal Stance,100.0%,-1.35 (Inaccurate ),32.08 (Inaccurate ),2.13 (Inaccurate ),9.05 (Inaccurate ),0.0 % ,Should Improve
23,0,Terminal Stance,100.0%,-1.51 (Inaccurate ),30.63 (Inaccurate ),1.65 (Inaccurate ),8.74 (Inaccurate ),0.0 % ,Should Improve
24,0,Terminal Stance,100.0%,-1.85 (Inaccurate ),29.81 (Inaccurate ),0.88 (Inaccurate ),8.55 (Inaccurate ),0.0 % ,Should Improve
25,0,Terminal Stance,100.0%,-2.22 (Inaccurate ),28.86 (Inaccurate ),0.1 (Inaccurate ),8.45 (Inaccurate ),0.0 % ,Should Improve
26,0,Terminal Stance,100.0%,-2.67 (Inaccurate ),26.61 (Inaccurate ),0.55 (Inaccurate ),7.26 (Inaccurate ),0.0 % ,Should Improve
27,0,Terminal Stance,100.0%,-2.85 (Inaccurate ),25.65 (Inaccurate ),0.23 (Inaccurate ),7.14 (Inaccurate ),0.0 % ,Should Improve
28,0,Terminal Stance,100.0%,-2.72 (Inaccurate ),26.6 (Inaccurate ),0.22 (Inaccurate ),7.71 (Inaccurate ),0.0 % ,Should Improve
29,0,Terminal Stance,100.0%,-2.65 (Inaccurate ),25.82 (Inaccurate ),0.47 (Inaccurate ),8.55 (Inaccurate ),0.0 % ,Should Improve
30,0,Terminal Stance,100.0%,-2.36 (Inaccurate ),24.3 (Inaccurate ),0.22 (Inaccurate ),8.9 (Inaccurate ),0.0 % ,Should Improve
31,0,Terminal Stance,100.0%,-2.92 (Inaccurate ),21.83 (Inaccurate ),0.06 (Inaccurate ),7.67 (Inaccurate ),0.0 % ,Should Improve
32,0,Terminal Stance,100.0%,-2.49 (Inaccurate ),21.05 (Inaccurate ),1.58 (Inaccurate ),7.96 (Inaccurate ),0.0 % ,Should Improve
33,0,Terminal Stance,100.0%,-2.31 (Inaccurate ),18.79 (Inaccurate ),0.83 (Inaccurate ),7.68 (Inaccurate ),0.0 % ,Should Improve
34,0,Terminal Stance,100.0%,-2.41 (Inaccurate ),18.85 (Inaccurate ),0.88 (Inaccurate ),8.05 (Inaccurate ),0.0 % ,Should Improve
